192.168.1.41 - - [10/Jan/2019:04:30:35 +0000] "GET /idp/profile/SAML2/Redirect/SLO?execution=e4s1 HTTP/1.1" 200 1266
192.168.1.41 - - [10/Jan/2019:04:30:46 +0000] "GET /idp/images/dummylogo.png HTTP/1.1" 200 6712
192.168.1.41 - - [10/Jan/2019:04:30:46 +0000] "GET /idp/css/main.css HTTP/1.1" 200 2821
192.168.1.180 - - [10/Jan/2019:04:54:18 +0000] "POST /idp/profile/SAML2/POST/SSO HTTP/1.1" 302 -
192.168.1.180 - - [10/Jan/2019:04:54:18 +0000] "GET /idp/profile/SAML2/POST/SSO;jsessionid=3D14BBE57A3DF845D9301CF833771C18?execution=e1s1 HTTP/1.1" 200 2860
192.168.1.180 - - [10/Jan/2019:04:54:18 +0000] "GET /idp/images/dummylogo.png HTTP/1.1" 200 6712
192.168.1.180 - - [10/Jan/2019:04:54:18 +0000] "GET /idp/css/main.css HTTP/1.1" 200 2821
192.168.1.180 - - [10/Jan/2019:04:54:24 +0000] "POST /idp/profile/SAML2/POST/SSO;jsessionid=3D14BBE57A3DF845D9301CF833771C18?execution=e1s1 HTTP/1.1" 200 11958
192.168.1.41 - - [10/Jan/2019:05:13:52 +0000] "POST /idp/profile/SAML2/POST/SSO HTTP/1.1" 302 -
192.168.1.41 - - [10/Jan/2019:05:13:52 +0000] "GET /idp/profile/SAML2/POST/SSO?execution=e1s1 HTTP/1.1" 200 2816
192.168.1.41 - - [10/Jan/2019:05:13:52 +0000] "GET /idp/css/main.css HTTP/1.1" 200 2821
192.168.1.41 - - [10/Jan/2019:05:13:52 +0000] "GET /idp/images/dummylogo.png HTTP/1.1" 200 6712
192.168.1.41 - - [10/Jan/2019:05:13:59 +0000] "POST /idp/profile/SAML2/POST/SSO?execution=e1s1 HTTP/1.1" 200 11958
192.168.1.41 - - [10/Jan/2019:05:35:10 +0000] "POST /idp/profile/SAML2/POST/SSO HTTP/1.1" 200 11958
192.168.1.180 - - [10/Jan/2019:05:59:22 +0000] "POST /idp/profile/SAML2/POST/SSO HTTP/1.1" 302 -
192.168.1.180 - - [10/Jan/2019:05:59:22 +0000] "GET /idp/profile/SAML2/POST/SSO?execution=e1s1 HTTP/1.1" 200 2816
192.168.1.180 - - [10/Jan/2019:05:59:22 +0000] "GET /idp/css/main.css HTTP/1.1" 200 2821
192.168.1.180 - - [10/Jan/2019:05:59:22 +0000] "GET /idp/images/dummylogo.png HTTP/1.1" 200 6712
192.168.1.180 - - [10/Jan/2019:05:59:22 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
192.168.1.180 - - [10/Jan/2019:05:59:27 +0000] "POST /idp/profile/SAML2/POST/SSO?execution=e1s1 HTTP/1.1" 200 11958
192.168.1.180 - - [10/Jan/2019:07:05:09 +0000] "POST /idp/profile/SAML2/POST/SSO HTTP/1.1" 302 -
192.168.1.180 - - [10/Jan/2019:07:05:09 +0000] "GET /idp/profile/SAML2/POST/SSO?execution=e1s1 HTTP/1.1" 200 2816
192.168.1.180 - - [10/Jan/2019:07:05:09 +0000] "GET /idp/css/main.css HTTP/1.1" 200 2821
192.168.1.180 - - [10/Jan/2019:07:05:09 +0000] "GET /idp/images/dummylogo.png HTTP/1.1" 200 6712
192.168.1.41 - - [10/Jan/2019:07:05:28 +0000] "POST /idp/profile/SAML2/POST/SSO HTTP/1.1" 302 -
192.168.1.41 - - [10/Jan/2019:07:05:28 +0000] "GET /idp/profile/SAML2/POST/SSO?execution=e1s1 HTTP/1.1" 200 2816
192.168.1.41 - - [10/Jan/2019:07:05:28 +0000] "GET /idp/css/main.css HTTP/1.1" 200 2821
192.168.1.41 - - [10/Jan/2019:07:05:34 +0000] "POST /idp/profile/SAML2/POST/SSO?execution=e1s1 HTTP/1.1" 200 11958
